transaction_id,amount,transaction_time,location_change,device_change,merchant_risk,is_fraud
1,308.31,8,0,0,0.2883,0
2,1592.85,18,0,0,0.1715,0
3,232.15,22,0,0,0.0605,0
4,386.27,7,0,0,0.2173,0
5,188.24,10,1,0,0.4453,0
6,748.03,19,0,0,0.2409,0
7,977.87,22,0,0,0.1347,0
8,178.48,14,0,0,0.1313,0
9,262.01,6,0,0,0.1273,0
10,232.44,9,0,0,0.1484,0
11,405.34,6,0,0,0.341,0
12,465.66,18,0,0,0.0829,0
13,1363.42,12,1,0,0.1593,0
14,70.86,17,1,0,0.2099,0
15,272.93,20,1,0,0.1317,0
16,214.42,15,0,0,0.0564,0
17,487.09,11,0,0,0.1607,0
18,158.68,10,0,0,0.0503,0
19,666.92,12,0,0,0.2426,0
20,387.55,13,0,0,0.0415,0
21,282.69,7,0,1,0.3203,0
22,5725.98,12,0,0,0.2352,0
23,156.63,15,0,0,0.2245,0
24,972.32,9,0,0,0.2179,0
25,95.73,8,0,0,0.1679,0
26,130.75,16,0,0,0.2645,0
27,284.4,8,0,0,0.1264,0
28,1062.34,14,0,0,0.2227,0
29,27.61,21,0,0,0.078,0
30,164.77,8,0,0,0.2611,0
31,251.19,21,0,0,0.1012,0
32,6194.93,8,0,0,0.0848,0
33,312.02,14,0,0,0.3132,0
34,110.18,17,0,0,0.1054,0
35,1098.08,10,0,0,0.1286,0
36,162.99,13,0,1,0.0901,0
37,3598.55,21,0,0,0.1263,0
38,368.1,7,0,0,0.1248,0
39,51.21,14,0,0,0.1242,0
40,339.68,10,0,0,0.2576,0
41,406.44,19,0,0,0.0855,0
42,276.7,13,0,0,0.2622,0
43,95.16,13,0,0,0.2098,0
44,71.3,18,0,1,0.0097,0
45,531.68,19,0,0,0.0447,0
46,518.77,9,0,0,0.1654,0
47,405.74,15,1,0,0.335,0
48,251.22,18,0,0,0.2182,0
49,113.39,8,0,0,0.1623,0
50,1523.35,8,0,1,0.1825,0
51,8264.85,14,0,0,0.1513,0
52,208.82,6,0,0,0.0672,0
53,233.01,19,0,0,0.1424,0
54,156.06,16,0,0,0.0677,0
55,340.05,8,0,0,0.2213,0
56,167.01,9,0,0,0.0868,0
57,128.77,21,0,0,0.2775,0
58,304.97,22,0,0,0.0612,0
59,1070.97,19,0,0,0.2033,0
60,70.4,6,0,0,0.2546,0
61,1101.24,21,0,0,0.0833,0
62,259.67,10,0,0,0.2768,0
63,594.91,17,0,0,0.0497,0
64,163.93,7,0,0,0.3974,0
65,743.34,21,0,0,0.118,0
66,333.7,13,1,0,0.0701,0
67,40.43,21,0,0,0.098,0
68,307.81,17,0,0,0.4025,0
69,274.83,17,0,0,0.0577,0
70,102.02,18,0,0,0.0459,0
71,297.97,16,0,0,0.2314,0
72,279.96,7,0,0,0.295,0
73,2918.94,11,0,0,0.4009,0
74,2700.76,16,0,0,0.3841,0
75,109.1,9,0,0,0.2321,0
76,398.11,15,0,0,0.1658,0
77,386.38,12,0,0,0.0406,0
78,243.85,10,1,0,0.0948,0
79,13554.83,6,0,1,0.7482,1
80,1824.05,10,0,0,0.3739,0
81,1902.06,8,0,1,0.0565,0
82,1171.81,19,0,0,0.245,0
83,1877.32,19,1,0,0.0775,0
84,525.78,11,0,0,0.1501,0
85,243.57,19,0,0,0.0458,0
86,5928.42,6,1,0,0.5642,1
87,449.48,18,0,0,0.2521,0
88,390.05,20,0,0,0.1641,0
89,823.86,13,0,0,0.0608,0
90,2867.84,11,0,0,0.2657,0
91,746.1,14,0,0,0.1653,0
92,123.85,19,0,0,0.0541,0
93,2890.02,11,1,0,0.1334,0
94,605.4,14,0,1,0.1429,0
95,668.91,10,0,0,0.1491,0
96,604.7,10,0,0,0.1624,0
97,1873.28,8,0,0,0.1565,0
98,549.05,10,0,0,0.199,0
99,168.67,6,1,0,0.2428,0
100,212.24,19,0,0,0.1785,0
101,205.69,14,0,0,0.0727,0
102,156.39,22,0,0,0.0835,0
103,170.18,15,0,0,0.0935,0
104,1267.72,8,0,0,0.238,0
105,384.99,6,0,0,0.2769,0
106,475.62,14,0,0,0.3362,0
107,76.48,7,1,0,0.0867,0
108,2597.66,20,0,0,0.3728,0
109,1160.46,19,1,0,0.1077,0
110,524.39,18,0,0,0.1378,0
