transaction_id,amount,transaction_time,location_change,device_change,merchant_risk,is_fraud
1,3080.17,15,0,0,0.0203,0
2,3180.02,19,0,0,0.0348,0
3,5728.35,14,0,0,0.0242,0
4,325.59,19,0,0,0.0693,0
5,566.07,12,0,0,0.3315,0
6,2163.41,11,0,0,0.1379,0
7,798.98,7,1,0,0.0721,0
8,1196.14,13,0,0,0.0946,0
9,954.93,16,0,0,0.0781,0
10,624.73,17,0,0,0.1699,0
11,1144.31,12,0,0,0.0468,0
12,790.91,10,0,0,0.0745,0
13,228.69,14,0,0,0.0768,0
14,296.34,21,0,0,0.1488,0
15,1094.44,11,0,0,0.1065,0
16,1720.59,12,0,0,0.0273,0
17,31643.94,2,1,1,0.7661,1
18,364.42,20,0,0,0.0249,0
19,1315.47,21,0,0,0.0414,0
20,750.17,11,0,0,0.2135,0
21,6132.5,1,1,1,0.8046,1
22,92208.26,23,1,1,0.6463,1
23,745.1,13,0,0,0.0306,0
24,652.94,16,0,0,0.186,0
25,725.63,10,0,0,0.1066,0
26,5000.0,2,0,1,0.8742,1
27,17891.21,1,1,1,0.6055,1
28,2070.54,20,0,0,0.1483,0
29,436.75,14,0,0,0.0442,0
30,1763.61,9,0,0,0.119,0
31,54360.48,2,0,0,0.6213,1
32,291.34,10,0,0,0.0106,0
33,976.59,15,0,0,0.0457,0
34,935.57,11,0,0,0.0693,0
35,1271.16,19,0,0,0.111,0
36,337.93,21,0,1,0.0277,0
37,1112.58,21,0,0,0.046,0
38,954.7,18,0,0,0.05,0
39,15000.0,7,0,0,0.144,0
40,201.1,13,0,0,0.0256,0
41,311.33,19,0,0,0.0568,0
42,479.31,16,0,0,0.1356,0
43,28101.85,1,0,0,0.8485,1
44,1358.32,16,0,0,0.0928,0
45,230.97,13,0,0,0.0565,0
46,493.24,16,0,0,0.0758,0
47,1093.04,20,0,0,0.1604,0
48,417.49,14,0,0,0.0838,0
49,314.67,15,0,0,0.0827,0
50,711.61,9,0,0,0.0327,0
51,641.73,7,0,0,0.0399,0
52,227.95,12,0,0,0.0669,0
53,712.35,14,0,0,0.1433,0
54,1355.08,15,0,0,0.0932,0
55,191.38,8,0,0,0.0996,0
56,1687.97,9,0,1,0.0674,0
57,1120.96,15,1,0,0.1062,0
58,268.27,10,0,0,0.0815,0
59,167.73,12,0,0,0.0232,0
60,729.06,9,1,0,0.1059,0
61,30485.64,23,1,1,0.7661,1
62,26.02,21,0,0,0.0948,0
63,5390.47,19,0,0,0.1324,0
64,34022.66,22,1,0,0.8981,1
65,91.14,15,0,0,0.0646,0
66,809.86,20,0,0,0.0612,0
67,1728.73,12,0,0,0.0491,0
68,419.62,13,1,0,0.09,0
69,343.17,11,0,0,0.0659,0
70,1087.81,7,0,0,0.0851,0
71,1568.16,16,1,0,0.098,0
72,848.68,11,0,0,0.1833,0
73,364.96,12,0,0,0.1993,0
74,540.17,20,0,0,0.0906,0
75,487.72,10,0,0,0.1861,0
76,651.38,10,0,0,0.1171,0
77,428.36,13,0,0,0.1091,0
78,348.93,20,0,0,0.1066,0
79,301.01,11,0,0,0.0856,0
80,5780.58,3,1,0,0.5712,1
81,891.65,9,0,0,0.0447,0
82,2915.78,21,0,0,0.0229,0
83,16011.61,22,1,1,0.7319,1
84,615.79,12,1,0,0.0633,0
85,1206.11,14,0,0,0.0518,0
86,732.95,7,0,0,0.0919,0
87,1243.48,9,0,0,0.1027,0
88,927.33,10,0,0,0.1939,0
89,1518.41,12,0,0,0.1145,0
90,713.23,12,0,0,0.1106,0
91,365.26,15,0,0,0.1435,0
92,5434.46,0,0,1,0.7818,1
93,596.6,7,0,0,0.0679,0
94,243.22,14,0,0,0.1378,0
95,86.55,17,0,0,0.114,0
96,162.8,12,0,0,0.0152,0
97,1661.38,8,0,0,0.0651,0
98,1513.08,15,0,0,0.2035,0
99,121.1,12,0,0,0.2105,0
